,Link,Cena,Cena za metr,Pokoje,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-praga-poludnie-z-ogrodkiem-ID4o3c7,"876556,80",13440,3,"65,22 m²",pełna własność,3 ,do wykończenia,parter/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
1,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-praga-poludnie-z-balkonem-ID4o3c6,"1079537,80",14390,3,"75,02 m²",pełna własność,3 ,do wykończenia,3/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
2,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-praga-poludnie-z-balkonem-ID4o3c4,"962236,80",13776,3,"69,85 m²",pełna własność,3 ,do wykończenia,1/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
3,https://www.otodom.pl/pl/oferta/okazja-2-pokojowe-mieszkanie-do-remontu-ID4o3bT,549000,14297,2,"38,4 m²",pełna własność,2 ,do remontu,4/10,balkon,Zapytaj,Zapytaj,tak,miejskie
4,https://www.otodom.pl/pl/oferta/kameralny-cieply-apartament-taras-17m2-2-m-park-ID4o3bO,1090000,14830,3,"73,5 m²",pełna własność,3 ,do zamieszkania,2/5,taras,1 300 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
5,https://www.otodom.pl/pl/oferta/bezposrednio-styczen-2024-bez-prowizji-ID4o3bz,1149000,16774,3,"68,5 m²",pełna własność,3 ,do wykończenia,3/8,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie
6,https://www.otodom.pl/pl/oferta/zoliborz-3-pokoje-z-widna-kuchnia-i-klimatyzacja-ID4o3bu,1035250,20500,3,"50,5 m²",pełna własność,3 ,do zamieszkania,1/4,balkon,560 zł,Zapytaj,Zapytaj,miejskie
7,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-atrakcyjnej-cenie-ID4o3b4,541668,10890,2,"49,74 m²",Zapytaj,2 ,Zapytaj,2/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,gazowe
8,https://www.otodom.pl/pl/oferta/apartament-wysoki-standard-71m2-3pokoje-ogrodek-ID4o3aL,1560000,21972,3,71 m²,pełna własność,3 ,do zamieszkania,parter/3,"ogródek, taras",900 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
9,https://www.otodom.pl/pl/oferta/3-pok-74-m2-wilanow-augustowka-ID4o3aJ,1350000,18243,3,74 m²,pełna własność,3 ,do zamieszkania,2/4,balkon,930 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
10,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-piasecznie-ID4o3as,578000,14098,2,41 m²,pełna własność,2 ,do zamieszkania,2/3,balkon,Zapytaj,Zapytaj,Zapytaj,gazowe
11,https://www.otodom.pl/pl/oferta/nowoczesne-gotowe-do-wprowadzenia-garaz-x2-ID4o3ar,1320000,21453,3,"61,53 m²",pełna własność,3 ,do zamieszkania,6/8,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
12,https://www.otodom.pl/pl/oferta/luksusowy-designerski-apartament-z-duza-loggia-ID4o3ap,2100000,25997,3,"80,78 m²",pełna własność,3 ,do zamieszkania,1/5,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
13,https://www.otodom.pl/pl/oferta/kawalerka-w-nowym-budynku-z-miejscem-postojowym-ID4o3ah,594940,16998,1,35 m²,pełna własność,Zapytaj,do zamieszkania,7/8,Zapytaj,550 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
14,https://www.otodom.pl/pl/oferta/odzaraz-pokoje32-30-12-10-92xmscparking-ciche19-ID4o3a7,1100000,10185,4,108 m²,pełna własność,4 ,do zamieszkania,1/2,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
15,https://www.otodom.pl/pl/oferta/piekna-kawalerka-zabki-32-m2-ID4o39v,450000,14063,1,32 m²,Zapytaj,Zapytaj,Zapytaj,3/4,balkon,490 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
16,https://www.otodom.pl/pl/oferta/3-pokoje-metro-wilanowska-51-6m2-do-wejscia-bk2-ID4o38g,799999,15504,3,"51,6 m²",pełna własność,3 ,do zamieszkania,1/17,Zapytaj,750 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
17,https://www.otodom.pl/pl/oferta/designerskie-mieszkanie-trzypokojowe-na-pradze-ID4o37W,1532520,22000,3,"69,66 m²",Zapytaj,3 ,Zapytaj,3/6,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
18,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-82m-na-ochocie-ID4o37T,1968000,24000,3,82 m²,pełna własność,3 ,do wykończenia,1/5,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
19,https://www.otodom.pl/pl/oferta/3-pokoje-nad-wisla-bez-pcc-i-prowizji-ID4o37B,919836,16200,3,"56,78 m²",pełna własność,3 ,do wykończenia,3/6,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie
20,https://www.otodom.pl/pl/oferta/kawalerka-z-duzym-balkonem-przy-metrze-ID4o37w,475000,15323,2,31 m²,pełna własność,2 ,Zapytaj,7/10,balkon,570 zł,Zapytaj,Zapytaj,Zapytaj
21,https://www.otodom.pl/pl/oferta/centrum-3-pokoje-ID4o37q,1890000,23625,3,80 m²,pełna własność,3 ,Zapytaj,1/5,balkon,860 zł,Zapytaj,Zapytaj,Zapytaj
22,https://www.otodom.pl/pl/oferta/okazja-mieszkanie-w-kamienicy-na-powislu-ID4o37p,2600000,20968,3,124 m²,Zapytaj,3 ,do zamieszkania,3/6,balkon,1 300 zł,Zapytaj,Zapytaj,miejskie
23,https://www.otodom.pl/pl/oferta/kawalerka-ulica-zelazna-okazja-ID4o37o,490000,22273,1,22 m²,Zapytaj,Zapytaj,do zamieszkania,1/10,balkon,420 zł,Zapytaj,Zapytaj,miejskie
