,Link,Cena,Cena za metr,Pokoje,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
0,https://www.otodom.pl/pl/oferta/39m2-ogrodek-kameralna-inwestycja-tarchomin-ID4o2Wo,508808,13090,2,"38,87 m²",Zapytaj,2 ,do wykończenia,parter/2,ogródek,Zapytaj,garaż/miejsce parkingowe,Zapytaj,inne
1,https://www.otodom.pl/pl/oferta/mieszkanie-biuro-w-zrewitalizowanej-kamienicy-ID4o2W0,1331265,19500,3,"68,27 m²",pełna własność,3 ,do wykończenia,parter/4,balkon,830 zł,Zapytaj,Zapytaj,miejskie
2,https://www.otodom.pl/pl/oferta/targowek-3-pokoje-tramwaj-metro-ID4o2UV,960000,14953,3,"64,2 m²",Zapytaj,3 ,Zapytaj,4/8,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
3,https://www.otodom.pl/pl/oferta/3pok-gotowe-przy-lesie-centrum-13min-super-cena-ID4o2UC,740000,9473,3,"78,12 m²",Zapytaj,3 ,do wykończenia,2/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,inne
4,https://www.otodom.pl/pl/oferta/2-pok-po-remoncie-mokotow-sluzew-ID4o2Um,639000,19969,2,32 m²,pełna własność,2 ,do zamieszkania,3/10,Zapytaj,400 zł,Zapytaj,tak,miejskie
5,https://www.otodom.pl/pl/oferta/apr-35m2-inwestycja-dla-ciebie-ID4o2TN,592491,16919,2,"35,02 m²",pełna własność,2 ,Zapytaj,2/4,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
6,https://www.otodom.pl/pl/oferta/mieszkanie-w-parku-przy-metrze-ID4o2Tu,680000,18733,2,"36,3 m²",pełna własność,2 ,Zapytaj,3/12,balkon,630 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
7,https://www.otodom.pl/pl/oferta/pruszkow3p-53m2-bk-2-konczy-sie-nie-przegap-ID4o2T4,542961,10350,3,"52,46 m²",Zapytaj,3 ,Zapytaj,4,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
8,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-grochow-praga-poludnie-ID4o2SN,695000,15795,2,44 m²,pełna własność,2 ,do remontu,1/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
9,https://www.otodom.pl/pl/oferta/pruszkow3p-53m2-bk-2-konczy-sie-nie-przegap-ID4o2SM,542961,10350,3,"52,46 m²",pełna własność,3 ,Zapytaj,3/5,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
10,https://www.otodom.pl/pl/oferta/20min-do-centrum-czynsz-260zl-m2-wysoki-standar-ID4o2SL,463100,12274,2,"37,73 m²",pełna własność,2 ,do wykończenia,2/2,balkon,260 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
11,https://www.otodom.pl/pl/oferta/widne60m2-metro-15min-pieszo-okazyjna-cena-prog-2-ID4o2Sx,756920,12700,3,"59,6 m²",Zapytaj,3 ,do wykończenia,2/8,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,inne
12,https://www.otodom.pl/pl/oferta/3pok-z-ogrodem-metro-spacerem-15min-prog2-cena-ID4o2Sc,756539,12700,3,"59,57 m²",Zapytaj,3 ,do wykończenia,parter/8,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,inne
13,https://www.otodom.pl/pl/oferta/pruszkow3p-53m2-bk-2-konczy-sie-nie-przegap-ID4o2S2,542961,10350,3,"52,46 m²",pełna własność,3 ,Zapytaj,3/5,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
14,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-77-m2-w-ursusie-szamoty-ID4o2Rw,1166000,14995,5,"77,76 m²",pełna własność,5 ,do zamieszkania,1/7,balkon,1 000 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
15,https://www.otodom.pl/pl/oferta/3-pokojowe-m-na-sadach-zoliborskich-ID4o2Rs,960000,16696,3,"57,5 m²",Zapytaj,3 ,Zapytaj,10/10,balkon,690 zł,Zapytaj,Zapytaj,miejskie
16,https://www.otodom.pl/pl/oferta/mieszkanie-47-69-m-warszawa-ID4o2Rq,1130000,23695,3,"47,69 m²",pełna własność,3 ,Zapytaj,Zapytaj,balkon,777 zł,Zapytaj,Zapytaj,miejskie
17,https://www.otodom.pl/pl/oferta/3pok-13min-do-centrum-blisko-skm-super-cena-gotowe-ID4o2Re,"1079537,80",14427,3,"74,83 m²",Zapytaj,3 ,do wykończenia,3/5,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,inne
18,https://www.otodom.pl/pl/oferta/jasne-mieszkanie-43m2-dobry-rozklad-wilanow-ID4o2QZ,720000,16744,2,43 m²,pełna własność,2 ,do zamieszkania,2/4,balkon,630 zł,Zapytaj,Zapytaj,miejskie
