date,uid,Cena,Cena za metr,Pokoje,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
,,1030680,28000,2,"36,81 m²",pełna własność,2 ,Zapytaj,1/8,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
,,1580000,17287,4,"91,4 m²",pełna własność,4 ,do wykończenia,1/3,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
,,500675,17500,1,"28,61 m²",pełna własność,Zapytaj,Zapytaj,1/5,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,799000,17000,2,47 m²,Zapytaj,2 ,Zapytaj,3/9,balkon,900 zł,Zapytaj,Zapytaj,Zapytaj
,,715000,19922,1,"35,89 m²",pełna własność,Zapytaj,do zamieszkania,5/6,balkon,380 zł,Zapytaj,Zapytaj,miejskie
,,610000,13988,2,"43,61 m²",pełna własność,2 ,do zamieszkania,1/4,balkon,400 zł,garaż/miejsce parkingowe,tak,Zapytaj
,,399000,15960,1,25 m²,pełna własność,Zapytaj,do wykończenia,3/10,balkon,500 zł,Zapytaj,tak,miejskie
,,979990,17043,3,"57,5 m²",pełna własność,3 ,Zapytaj,2/3,balkon,650 zł,Zapytaj,Zapytaj,miejskie
,,649000,12315,2,"52,7 m²",pełna własność,2 ,do zamieszkania,2/4,balkon,750 zł,Zapytaj,tak,miejskie
,,950000,12838,5,74 m²,pełna własność,5 ,Zapytaj,2/7,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
,,775000,15005,2,"51,65 m²",Zapytaj,2 ,do remontu,parter/4,Zapytaj,700 zł,Zapytaj,Zapytaj,Zapytaj
,,1025269,14900,3,"68,81 m²",pełna własność,3 ,do wykończenia,4/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,"876556,80",13440,3,"65,22 m²",pełna własność,3 ,do wykończenia,parter/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,"1079537,80",14390,3,"75,02 m²",pełna własność,3 ,do wykończenia,3/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,"962236,80",13776,3,"69,85 m²",pełna własność,3 ,do wykończenia,1/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,549000,14297,2,"38,4 m²",pełna własność,2 ,do remontu,4/10,balkon,Zapytaj,Zapytaj,tak,miejskie
,,1090000,14830,3,"73,5 m²",pełna własność,3 ,do zamieszkania,2/5,taras,1 300 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,1149000,16774,3,"68,5 m²",pełna własność,3 ,do wykończenia,3/8,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie
,,1035250,20500,3,"50,5 m²",pełna własność,3 ,do zamieszkania,1/4,balkon,560 zł,Zapytaj,Zapytaj,miejskie
,,541668,10890,2,"49,74 m²",Zapytaj,2 ,Zapytaj,2/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,gazowe
,,1560000,21972,3,71 m²,pełna własność,3 ,do zamieszkania,parter/3,"ogródek, taras",900 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,1350000,18243,3,74 m²,pełna własność,3 ,do zamieszkania,2/4,balkon,930 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,1320000,21453,3,"61,53 m²",pełna własność,3 ,do zamieszkania,6/8,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,2100000,25997,3,"80,78 m²",pełna własność,3 ,do zamieszkania,1/5,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
,,594940,16998,1,35 m²,pełna własność,Zapytaj,do zamieszkania,7/8,Zapytaj,550 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,799999,15504,3,"51,6 m²",pełna własność,3 ,do zamieszkania,1/17,Zapytaj,750 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,1532520,22000,3,"69,66 m²",Zapytaj,3 ,Zapytaj,3/6,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
,,1968000,24000,3,82 m²,pełna własność,3 ,do wykończenia,1/5,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
,,919836,16200,3,"56,78 m²",pełna własność,3 ,do wykończenia,3/6,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie
,,475000,15323,2,31 m²,pełna własność,2 ,Zapytaj,7/10,balkon,570 zł,Zapytaj,Zapytaj,Zapytaj
